_address	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
4949	Protocol No			uint32be	2				value		false	false
4951	Protocol ver			uint32sw	2				value		false	false
4953	Certification version number of ARM software			string	15				value		false	false
4968	Certification version number of DCP software			string	15				value		false	false
4989	SN			string	10				value		false	false
4999	Device type code	Refer to appendix 4.6		uint16be	1				value		false	false
5000	Nominal Power		kW	uint16be	1	0.1			value		false	false
5001	Output type	0: Single; 1: 3P4L: 2-3P3L 		uint16be	1				value		false	false
5002	Daily Output Energy	Power generation of active output (including PV power generation and battery discharge)	kWh	uint16be	1	0.1			value		false	false
5003	Total Output Energy	Power generation of active output (including PV power generation and battery discharge)	kWh	uint32sw	2	0.1			value		false	false
5007	Inside Temperature		°C	int16be	1	0.1			value		false	false
5010	MPPT 1 Voltage		V	uint16be	1	0.1			value		false	false
5011	MPPT 1 Current		A	uint16be	1	0.1			value		false	false
5012	MPPT 2 Voltage		V	uint16be	1	0.1			value		false	false
5013	MPPT 2 Current		A	uint16be	1	0.1			value		false	false
5014	MPPT 3 Voltage		V	uint16be	1	0.1			value		false	false
5015	MPPT 3 Current		A	uint16be	1	0.1			value		false	false
5016	Total DC Power	PV Power	W	uint32sw	2				value		false	false
5018	A-B line voltage/phase A voltage	Refer to Output type (address: 5001) 0: phase voltage; 1: phase voltage; 2: line voltage 	V	uint16be	1	0.1			value		false	false
5019	B-C line voltage/phase B voltage	Refer to Output type (address: 5001) 0: phase voltage; 1: phase voltage; 2: line voltage 	V	uint16be	1	0.1			value		false	false
5020	C-A line voltage/phase C voltage	Refer to Output type (address: 5001) 0: phase voltage; 1: phase voltage; 2: line voltage 	V	uint16be	1	0.1			value		false	false
5032	Reactive power		var	int32sw	2				value		false	false
5034	Power factor			int16be	1	0.001			value		false	false
5035	Grid frequency		Hz	uint16be	1	0.1			value		false	false
5213	Battery power - Wide range		W	int32sw	2				value		false	false
5241	Grid Frequency - High precision		Hz	uint16be	1	0.01			value		false	false
5602	Meter Phase A Active Power		W	int32sw	2				value		false	false
5604	Meter Phase B Active Power		W	int32sw	2				value		false	false
5606	Meter Phase C Active Power		W	int32sw	2				value		false	false
5621	Export limit min		W	uint16be	1	10			value		false	false
5622	Export limit max		W	uint16be	1	10			value		false	false
5627	BDC rated power		W	uint16be	1	100			value		false	false
5630	Battery Current		A	int16be	1	0.1			value		false	false
5634	Max. Charging Current (BMS)		A	uint16be	1				value		false	false
